"""","民間土木投資額(億円)","発電用土木(億円)","鉄 道(億円)"," 土地  造成・　埋立(億円)","埠頭･港湾(億円)","道 路(億円)","電気･通信等の電線路(億円)","管工事(億円)"," ｺﾞﾙﾌ場 建設(億円)","構内環境整備(億円)","その他の土木(億円)"
"平成16年度(2004年度)","278.28","4.71","106.2","42.7","0.71","22.69","54.05","3.86","0.0","8.04","35.32"
"平成17年度(2005年度)","375.6","…","106.6","18.0","7.9","17.0","78.0","13.0","9.0","13.0","112.0"
"","","","","","","","","","","",""
"平成18年度(2006年度)","596.22","129.1","121.25","7.5","21.61","7.47","89.73","22.59","0.0","39.54","157.43"
"平成19年度(2007年度)","664.0","127.0","167.0","20.0","10.0","8.0","94.0","20.0","1.0","62.0","157.0"
"平成20年度(2008年度)","573.0","52.0","150.0","15.0","3.0","3.0","58.0","17.0","8.0","46.0","221.0"
"平成21年度(2009年度)","510.0","31.0","147.0","20.0","2.0","1.0","66.0","46.0","20.0","31.0","147.0"
"平成22年度(2010年度)","557.0","86.0","137.0","14.0","4.0","2.0","65.0","17.0","90.0","42.0","100.0"
"","","","","","","","","","","",""
"平成23年度(2011年度)","273.0","13.0","63.0","3.0","1.0","4.0","62.0","20.0","0.0","46.0","61.0"
"平成24年度(2012年度)","368.54","34.01","115.29","6.27","4.7","5.45","58.59","12.5","0.39","51.08","80.25"
"平成25年度(2013年度)","279.51","30.07","36.02","16.7","5.81","3.49","56.69","7.89","0.0","20.64","102.21"
"平成26年度(2014年度)","296.72","16.18","34.66","10.13","3.53","0.46","58.38","9.82","2.59","26.71","134.26"
